SRX8241383	SAMN14791409	MouseACS1	P19Chx10creACS1_MissingLibrary_1_H7LGGCCXY
SRX8241384	SAMN14791408	MouseACS2	P18Chx10creACS6_MissingLibrary_1_H7MJCCCXY
SRX8241385	SAMN14791407	MouseACS3	P18Chx10creACS7_MissingLibrary_1_H7MJCCCXY
SRX8241386	SAMN14791406	MouseACS4	P18Chx10creACS8_MissingLibrary_1_H7MJCCCXY
SRX8241387	SAMN14791405	MouseACS5	P18Chx10creACS9_MissingLibrary_1_H7MJCCCXY
SRX8241388	SAMN14791404	MouseACS6	P18Chx10creACS10_MissingLibrary_1_H7MJCCCXY
SRX8241389	SAMN14791403	MouseACS7	MouseP18ACS6_MissingLibrary_1_HJFVNCCXY
SRX8241390	SAMN14791402	MouseACS8	MouseP18ACS7_MissingLibrary_1_HJFVNCCXY
SRX8241391	SAMN14791401	MouseACS9	MouseP18ACS8_MissingLibrary_1_HJFVNCCXY
SRX8241392	SAMN14791400	MouseACS10	MouseP18ACS9_MissingLibrary_1_HJFVNCCXY
